date,SPY,WMT,JPM
1970-10-19,,,-0.002123
1970-10-20,,,0.002128
1970-10-21,,,-0.004246
1970-10-22,,,-0.002132
1970-10-23,,,0.002137
1970-10-26,,,-0.002132
1970-10-27,,,0.002137
1970-10-28,,,-0.010661
1970-10-29,,,-0.002155
1970-10-30,,,-0.00432
1970-11-02,,,0.004338
1970-11-03,,,0.00216
1970-11-04,,,0.00431
1970-11-05,,,0.006438
1970-11-06,,,-0.008529
1970-11-09,,,0.006452
1970-11-10,,,0.010684
1970-11-11,,,-0.002114
1970-11-12,,,-0.006356
1970-11-13,,,-0.021322
1970-11-16,,,-0.006536
1970-11-17,,,0.026316
1970-11-18,,,-0.017094
1970-11-19,,,-0.017391
1970-11-20,,,0.006637
1970-11-23,,,-0.008791
1970-11-24,,,-0.006652
1970-11-25,,,0.026786
1970-11-27,,,0.015217
1970-11-30,,,0.002141
1970-12-01,,,0.012821
1970-12-02,,,-0.004219
1970-12-03,,,0.025424
1970-12-04,,,0.014463
1970-12-07,,,-0.002037
1970-12-08,,,-0.004082
1970-12-09,,,-0.00459
1970-12-10,,,-0.008333
1970-12-11,,,0.02521
1970-12-14,,,-0.006148
1970-12-15,,,-0.004124
1970-12-16,,,0.010352
1970-12-17,,,0.02459
1970-12-18,,,-0.002
1970-12-21,,,0.006012
1970-12-22,,,0.0
1970-12-23,,,0.013944
1970-12-24,,,0.013753
1970-12-28,,,0.007752
1970-12-29,,,0.0
1970-12-30,,,0.0
1970-12-31,,,0.0
1971-01-04,,,-0.009615
1971-01-05,,,0.001942
1971-01-06,,,0.011628
1971-01-07,,,0.022989
1971-01-08,,,-0.007491
1971-01-11,,,-0.003774
1971-01-12,,,0.015152
1971-01-13,,,0.011194
1971-01-14,,,-0.01107
1971-01-15,,,-0.003731
1971-01-18,,,-0.029963
1971-01-19,,,-0.011583
1971-01-20,,,-0.005859
1971-01-21,,,-0.005894
1971-01-22,,,0.003953
1971-01-25,,,0.0
1971-01-26,,,-0.007874
1971-01-27,,,-0.011905
1971-01-28,,,-0.014056
1971-01-29,,,0.002037
1971-02-01,,,0.00813
1971-02-02,,,0.012097
1971-02-03,,,0.001992
1971-02-04,,,-0.001988
1971-02-05,,,0.01992
1971-02-08,,,-0.003906
1971-02-09,,,0.003922
1971-02-10,,,0.0
1971-02-11,,,-0.007813
1971-02-12,,,-0.017717
1971-02-16,,,0.008016
1971-02-17,,,-0.003976
1971-02-18,,,-0.001996
1971-02-19,,,0.004
1971-02-22,,,-0.01992
1971-02-23,,,0.018293
1971-02-24,,,0.005988
1971-02-25,,,-0.009921
1971-02-26,,,-0.006012
1971-03-01,,,0.032258
1971-03-02,,,-0.009766
1971-03-03,,,-0.013807
1971-03-04,,,0.016
1971-03-05,,,0.007874
1971-03-08,,,-0.001953
1971-03-09,,,0.028885
1971-03-10,,,-0.015385
1971-03-11,,,0.015625
1971-03-12,,,-0.015385
1971-03-15,,,-0.007813
1971-03-16,,,0.0
1971-03-17,,,0.017717
1971-03-18,,,0.027079
1971-03-19,,,-0.00565
1971-03-22,,,-0.028409
1971-03-23,,,0.019493
1971-03-24,,,-0.00956
1971-03-25,,,0.009653
1971-03-26,,,0.022945
1971-03-29,,,0.009346
1971-03-30,,,0.001852
1971-03-31,,,0.020333
1971-04-01,,,0.014493
1971-04-02,,,0.0
1971-04-05,,,-0.014286
1971-04-06,,,-0.01087
1971-04-07,,,-0.005495
1971-04-08,,,-0.003683
1971-04-12,,,0.005545
1971-04-13,,,-0.009191
1971-04-14,,,-0.035251
1971-04-15,,,0.009615
1971-04-16,,,-0.001905
1971-04-19,,,-0.01145
1971-04-20,,,-0.005792
1971-04-21,,,-0.021359
1971-04-22,,,0.011905
1971-04-23,,,0.023529
1971-04-26,,,0.011494
1971-04-27,,,-0.011364
1971-04-28,,,-0.003831
1971-04-29,,,0.0
1971-04-30,,,-0.017308
1971-05-03,,,-0.01957
1971-05-04,,,0.001996
1971-05-05,,,-0.013944
1971-05-06,,,-0.00404
1971-05-07,,,-0.020284
1971-05-10,,,-0.00207
1971-05-11,,,0.002075
1971-05-12,,,0.0
1971-05-13,,,-0.018634
1971-05-14,,,0.008439
1971-05-17,,,0.002092
1971-05-18,,,-0.006263
1971-05-19,,,0.0
1971-05-20,,,0.012605
1971-05-21,,,-0.004149
1971-05-24,,,-0.008333
1971-05-25,,,-0.002101
1971-05-26,,,0.0
1971-05-27,,,-0.006316
1971-05-28,,,0.012712
1971-06-01,,,-0.006276
1971-06-02,,,0.006316
1971-06-03,,,0.004184
1971-06-04,,,0.0
1971-06-07,,,-0.002083
1971-06-08,,,-0.002088
1971-06-09,,,0.007866
1971-06-10,,,-0.002101
1971-06-11,,,-0.002105
1971-06-14,,,0.00211
1971-06-15,,,-0.04
1971-06-16,,,0.02193
1971-06-17,,,-0.01073
1971-06-18,,,-0.010846
1971-06-21,,,-0.006579
1971-06-22,,,0.011038
1971-06-23,,,0.0
1971-06-24,,,-0.0131
1971-06-25,,,-0.006637
1971-06-28,,,-0.013363
1971-06-29,,,0.002257
1971-06-30,,,0.018018
1971-07-01,,,0.0
1971-07-02,,,0.00885
1971-07-06,,,-0.002193
1971-07-07,,,0.002198
1971-07-08,,,0.004386
1971-07-09,,,-0.004367
1971-07-12,,,0.0
1971-07-13,,,0.0
1971-07-14,,,-0.017544
1971-07-15,,,0.0
1971-07-16,,,-0.008929
1971-07-19,,,-0.006757
1971-07-20,,,0.002268
