date,P,D
1986-02-24,12.375,0.0
1986-02-25,12.625,0.0
1986-02-26,13.125,0.0
1986-02-27,14.0,0.0
1986-02-28,13.875,0.0
1986-03-03,14.0,0.0
1986-03-04,13.625,0.0
1986-03-05,13.5,0.0
1986-03-06,13.625,0.0
1986-03-07,13.625,0.0
1986-03-10,13.625,0.0
1986-03-11,13.75,0.0
1986-03-12,13.875,0.0
1986-03-13,13.625,0.0
1986-03-14,14.25,0.0
1986-03-17,14.125,0.0
1986-03-18,14.125,0.0
1986-03-19,14.0,0.0
1986-03-20,14.25,0.0
1986-03-21,15.125,0.0
1986-03-24,15.5,0.0
1986-03-25,15.375,0.0
1986-03-26,15.125,0.0
1986-03-27,15.125,0.0
1986-03-31,15.0,0.0
1986-04-01,15.0,0.0
1986-04-02,15.0,0.0
1986-04-03,15.25,0.0
1986-04-04,15.75,0.0
1986-04-07,15.5,0.0
1986-04-08,15.875,0.0
1986-04-09,15.625,0.0
1986-04-10,15.125,0.0
1986-04-11,15.25,0.0
1986-04-14,15.25,0.0
1986-04-15,15.125,0.0
1986-04-16,15.25,0.0
1986-04-17,15.5,0.0
1986-04-18,15.5,0.0
1986-04-21,15.375,0.0
1986-04-22,15.625,0.0
1986-04-23,15.375,0.0
1986-04-24,15.25,0.0
1986-04-25,15.125,0.0
1986-04-28,14.625,0.0
1986-04-29,13.75,0.0
1986-04-30,14.125,0.0
1986-05-01,13.75,0.0
1986-05-02,13.5,0.0
1986-05-05,13.5,0.0
1986-05-06,13.0,0.0
1986-05-07,12.25,0.0
1986-05-08,12.75,0.0
1986-05-09,12.625,0.0
1986-05-12,12.875,0.0
1986-05-13,12.875,0.0
1986-05-14,13.125,0.0
1986-05-15,12.875,0.0
1986-05-16,13.25,0.0
1986-05-19,13.25,0.0
1986-05-20,13.625,0.0
1986-05-21,13.375,0.0
1986-05-22,13.0,0.0
1986-05-23,13.25,0.0
1986-05-27,13.0,0.0
1986-05-28,13.5,0.0
1986-05-29,13.875,0.0
